U Petnika;Pred Menzou;Matematiku;Fyziku;Radioelektronicka;Elektromagnetickeho pole;Mikroelektronicka;Studentska;Paterova;Nosterova;U Zavrene skoly;U Bufetu;Knihovnicka;Dekanat;Rektorat;Studijni odd.
{f;Jim Clark;14400;14580;14700;14820;14940;15040;15160;15240;15330;15410;15480;15600;15760;15890;16000;16120}
{f;James Hunt;16200;16380;16500;16620;16740;16840;16960;17040;17130;17210;17280;17400;17560;17690;17800;17920}
{f;Graham Hill;18000;18180;18300;18420;18540;18640;18760;18840;18930;19010;19080;19200;19360;19490;19600;19720}
{f;Jack Brabham;19800;19980;20100;20220;20340;20440;20560;20640;20730;20810;20880;21000;21160;21290;21400;21520}
{f;Nelson Piquet;21600;21780;21900;22020;22140;22240;22360;22440;22530;22610;22680;22800;22960;23090;23200;23320}
{f;Keke Rosberg;22500;22680;22800;22920;23040;23140;23260;23340;23430;23510;23580;23700;23860;23990;24100;24220}
{f;Ayrton Senna;23400;23580;23700;23820;23940;24040;24160;24240;24330;24410;24480;24600;24760;24890;25000;25120}
{f;John Surtees;24300;24480;24600;24720;24840;24940;25060;25140;25230;25310;25380;25500;25660;25790;25900;26020}
{f;Jim Clark;25200;25380;25500;25620;25740;25840;25960;26040;26130;26210;26280;26400;26560;26690;26800;26920}
{f;Niki Lauda;26100;26280;26400;26520;26640;26740;26860;26940;27030;27110;27180;27300;27460;27590;27700;27820}
{f;Jackie Stewart;27000;27180;27300;27420;27540;27640;27760;27840;27930;28010;28080;28200;28360;28490;28600;28720}
{f;Emerson Fittipaldi;27900;28080;28200;28320;28440;28540;28660;28740;28830;28910;28980;29100;29260;29390;29500;29620}
{f;Graham Hill;28800;28980;29100;29220;29340;29440;29560;29640;29730;29810;29880;30000;30160;30290;30400;30520}
{f;James Hunt;29700;29880;30000;30120;30240;30340;30460;30540;30630;30710;30780;30900;31060;31190;31300;31420}
{f;Nelson Piquet;30600;30780;30900;31020;31140;31240;31360;31440;31530;31610;31680;31800;31960;32090;32200;32320}
{f;Jochen Rindt;31500;31680;31800;31920;32040;32140;32260;32340;32430;32510;32580;32700;32860;32990;33100;33220}
{f;Keke Rosberg;32400;32580;32700;32820;32940;33040;33160;33240;33330;33410;33480;33600;33760;33890;34000;34120}
{f;Jack Brabham;33300;33480;33600;33720;33840;33940;34060;34140;34230;34310;34380;34500;34660;34790;34900;35020}
{f;Ayrton Senna;34200;34380;34500;34620;34740;34840;34960;35040;35130;35210;35280;35400;35560;35690;35800;35920}
{f;John Surtees;35100;35280;35400;35520;35640;35740;35860;35940;36030;36110;36180;36300;36460;36590;36700;36820}
{f;Jackie Stewart;36000;36180;36300;36420;36540;36640;36760;36840;36930;37010;37080;37200;37360;37490;37600;37720}
{f;Nelson Piquet;37800;37980;38100;38220;38340;38440;38560;38640;38730;38810;38880;39000;39160;39290;39400;39520}
{f;Jim Clark;39600;39780;39900;40020;40140;40240;40360;40440;40530;40610;40680;40800;40960;41090;41200;41320}
{f;Niki Lauda;41400;41580;41700;41820;41940;42040;42160;42240;42330;42410;42480;42600;42760;42890;43000;43120}
{f;Jochen Rindt;43200;43380;43500;43620;43740;43840;43960;44040;44130;44210;44280;44400;44560;44690;44800;44920}
{f;Emerson Fittipaldi;45000;45180;45300;45420;45540;45640;45760;45840;45930;46010;46080;46200;46360;46490;46600;46720}
{f;Graham Hill;46800;46980;47100;47220;47340;47440;47560;47640;47730;47810;47880;48000;48160;48290;48400;48520}
{f;Ayrton Senna;48600;48780;48900;49020;49140;49240;49360;49440;49530;49610;49680;49800;49960;50090;50200;50320}
{f;Keke Rosberg;50400;50580;50700;50820;50940;51040;51160;51240;51330;51410;51480;51600;51760;51890;52000;52120}
{f;Jack Brabham;52200;52380;52500;52620;52740;52840;52960;53040;53130;53210;53280;53400;53560;53690;53800;53920}
{f;James Hunt;54000;54180;54300;54420;54540;54640;54760;54840;54930;55010;55080;55200;55360;55490;55600;55720}
{f;Jackie Stewart;54900;55080;55200;55320;55440;55540;55660;55740;55830;55910;55980;56100;56260;56390;56500;56620}
{f;Niki Lauda;55800;55980;56100;56220;56340;56440;56560;56640;56730;56810;56880;57000;57160;57290;57400;57520}
{f;John Surtees;56700;56880;57000;57120;57240;57340;57460;57540;57630;57710;57780;57900;58060;58190;58300;58420}
{f;Nelson Piquet;57600;57780;57900;58020;58140;58240;58360;58440;58530;58610;58680;58800;58960;59090;59200;59320}
{f;Emerson Fittipaldi;58500;58680;58800;58920;59040;59140;59260;59340;59430;59510;59580;59700;59860;59990;60100;60220}
{f;Jochen Rindt;59400;59580;59700;59820;59940;60040;60160;60240;60330;60410;60480;60600;60760;60890;61000;61120}
{f;Jim Clark;60300;60480;60600;60720;60840;60940;61060;61140;61230;61310;61380;61500;61660;61790;61900;62020}
{f;Keke Rosberg;61200;61380;61500;61620;61740;61840;61960;62040;62130;62210;62280;62400;62560;62690;62800;62920}
{f;Graham Hill;62100;62280;62400;62520;62640;62740;62860;62940;63030;63110;63180;63300;63460;63590;63700;63820}
{f;Ayrton Senna;63000;63180;63300;63420;63540;63640;63760;63840;63930;64010;64080;64200;64360;64490;64600;64720}
{f;Jack Brabham;63900;64080;64200;64320;64440;64540;64660;64740;64830;64910;64980;65100;65260;65390;65500;65620}
{f;Jackie Stewart;64800;64980;65100;65220;65340;65440;65560;65640;65730;65810;65880;66000;66160;66290;66400;66520}
{f;Niki Lauda;65700;65880;66000;66120;66240;66340;66460;66540;66630;66710;66780;66900;67060;67190;67300;67420}
{f;Emerson Fittipaldi;66600;66780;66900;67020;67140;67240;67360;67440;67530;67610;67680;67800;67960;68090;68200;68320}
{f;John Surtees;67500;67680;67800;67920;68040;68140;68260;68340;68430;68510;68580;68700;68860;68990;69100;69220}
{f;Nelson Piquet;68400;68580;68700;68820;68940;69040;69160;69240;69330;69410;69480;69600;69760;69890;70000;70120}
{f;James Hunt;70200;70380;70500;70620;70740;70840;70960;71040;71130;71210;71280;71400;71560;71690;71800;71920}
{f;Jochen Rindt;72000;72180;72300;72420;72540;72640;72760;72840;72930;73010;73080;73200;73360;73490;73600;73720}
{f;Graham Hill;73800;73980;74100;74220;74340;74440;74560;74640;74730;74810;74880;75000;75160;75290;75400;75520}
{f;Keke Rosberg;75600;75780;75900;76020;76140;76240;76360;76440;76530;76610;76680;76800;76960;77090;77200;77320}
{f;Ayrton Senna;77400;77580;77700;77820;77940;78040;78160;78240;78330;78410;78480;78600;78760;78890;79000;79120}
{f;Niki Lauda;79200;79380;79500;79620;79740;79840;79960;80040;80130;80210;80280;80400;80560;80690;80800;80920}
{f;Jim Clark;81000;81180;81300;81420;81540;81640;81760;81840;81930;82010;82080;82200;82360;82490;82600;82720}
{f;Jackie Stewart;82800;82980;83100;83220;83340;83440;83560;83640;83730;83810;83880;84000;84160;84290;84400;84520}
{b;Nelson Piquet;16420;16240;16120;16000;15880;15780;15660;15580;15490;15410;15340;15220;15060;14930;14820;14700}
{b;Ayrton Senna;18220;18040;17920;17800;17680;17580;17460;17380;17290;17210;17140;17020;16860;16730;16620;16500}
{b;Niki Lauda;20020;19840;19720;19600;19480;19380;19260;19180;19090;19010;18940;18820;18660;18530;18420;18300}
{b;Jim Clark;21820;21640;21520;21400;21280;21180;21060;20980;20890;20810;20740;20620;20460;20330;20220;20100}
{b;Emerson Fittipaldi;23620;23440;23320;23200;23080;22980;22860;22780;22690;22610;22540;22420;22260;22130;22020;21900}
{b;Jackie Stewart;24520;24340;24220;24100;23980;23880;23760;23680;23590;23510;23440;23320;23160;23030;22920;22800}
{b;Jochen Rindt;25420;25240;25120;25000;24880;24780;24660;24580;24490;24410;24340;24220;24060;23930;23820;23700}
{b;James Hunt;26320;26140;26020;25900;25780;25680;25560;25480;25390;25310;25240;25120;24960;24830;24720;24600}
{b;Graham Hill;27220;27040;26920;26800;26680;26580;26460;26380;26290;26210;26140;26020;25860;25730;25620;25500}
{b;Nelson Piquet;28120;27940;27820;27700;27580;27480;27360;27280;27190;27110;27040;26920;26760;26630;26520;26400}
{b;Keke Rosberg;29020;28840;28720;28600;28480;28380;28260;28180;28090;28010;27940;27820;27660;27530;27420;27300}
{b;Jack Brabham;29920;29740;29620;29500;29380;29280;29160;29080;28990;28910;28840;28720;28560;28430;28320;28200}
